ID,BUSINESS,BUSINESS_TAGS,TIME,WEEKDAY,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE
2,12 STEPS DOWN,BAR,8:00 PM,WEDNESDAY,,BELLA VISTA,831 CHRISTIAN ST,,PHILADELPHIA,PA,19147,GIFT_CARD,30,GIFT_CARD,15,,,HTOTHEQUIZZO,MUSIC_QUIZZO
3,SEPARATIST BEER PROJECT,BAR,8:00 PM,THURSDAY,,,101 NORTHAMPTON ST,,EASTON,PA,18042,,,,,,,MFROME8,QUIZZO
4,KRICK WUDER SALOON,BAR,7:00 PM,WEDNESDAY,,BRIDESBURG,2676 BRIDGE ST,,PHILADELPHIA,PA,19137,,,,,,,THEPHILLYCAPTAIN,QUIZZO
5,DAVE AND BUSTER'S,"BAR,ARCADE",7:30 PM,TUESDAY,,DELAWARE AVE,325 N CHRISTOPHER COLUMBUS BLVD,,PHILADELPHIA,PA,19106,,,,,,,GEEKS WHO DRINK,QUIZZO
6,TOP GOLF,"BAR,GOLF",6:30 PM,THURSDAY,,NORTHEAST PHILADELPHIA,2140 BYBERRY RD,,PHILADELPHIA,PA,19116,,,,,,,GEEKS WHO DRINK,QUIZZO
7,NORTH PENN SOCIAL CLUB,"BAR,SOCIAL_CLUB",7:30 PM,TUESDAY,,,141 S MAIN ST,,NORTH WALES,PA,19454,,,,,,,THE QUIZZO GUYS,QUIZZO
8,PHILADELPHIA BREWING COMPANY,BREWERY,7:30 PM,TUESDAY,,EAST KENSINGTON,2440 FRANKFORD AVE,,PHILADELPHIA,PA,19125,,,,,,,BARRETT,QUIZZO
9,EVIL GENIUS BEER COMPANY,BREWERY,7:00 PM,WEDNESDAY,,FISHTOWN,1727 N FRONT ST,,PHILADELPHIA,PA,19122,,,,,,,LUNCH MONEY QUIZZO,QUIZZO
10,NESHAMINY BREWING,BREWERY,7:05 PM,THURSDAY,THIRD_OF_MONTH,,909 RAY AVE,,CROYDON,PA,19021,,,,,,,LUNCH MONEY QUIZZO,QUIZZO
11,NESHAMINY CREEK BREWING DUBLIN,BREWERY,7:00 PM,THURSDAY,FIRST_OF_MONTH,,139 N MAIN ST,UNIT 1,DUBLIN,PA,18917,,,,,,,LUNCH MONEY QUIZZO,QUIZZO
12,VONC BREWING CO.,BREWERY,7:00 PM,THURSDAY,,,1210 STANBRIDGE ST,SUITE 300,NORRISTOWN,PA,19401,,,,,,,MIKE ARGY,QUIZZO
13,FAT LADY BREWING,BREWERY,7:00 PM,WEDNESDAY,,MANAYUNK,4323 MAIN ST,,PHILADELPHIA,PA,19127,CASH,25,CASH,15,CASH,10,QUIZZOMAN,QUIZZO
14,BROKEN GOBLET BREWING,BREWERY,8:00 PM,WEDNESDAY,,,2500 STATE ROAD,,ANDALUSIA,PA,19120,,,,,,,RIGHTEOUS JOLLY,QUIZZO
15,PUNCH BUGGY BREWING COMPANY,BREWERY,7:30 PM,WEDNESDAY,,FISHTOWN,1445 N AMERICAN ST,,PHILADELPHIA,PA,19122,,,,,,,SEAN MAGUIRE,QUIZZO
16,FREE WILL BREWING CO.,BREWERY,7:00 PM,WEDNESDAY,,,410 E WALNUT ST,"#1, 10",PERKASIE,PA,18944,,,,,,,THE QUIZZO GUYS,QUIZZO
17,CARTESIAN BREWING,BREWERY,7:00 PM,THURSDAY,,SOUTH PHILADELPHIA,326 E PASSYUNK AVE,,PHILADELPHIA,PA,19147,,,,,,,TRIVIA MONTY,QUIZZO
18,AXE AND ARROW BREWING,BREWERY,7:00 PM,WEDNESDAY,,,105 HIGH ST W,,GLASSBORO,NJ,8028,,,,,,,TRIVIAME,QUIZZO
19,SOURCE,BREWERY,7:00 PM,MONDAY,,FISHTOWN,1101 FRANKFORD AVE,,PHILADELPHIA,PA,19125,,,,,,,TRIVIATAINMENT,QUIZZO
